scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsvlinear_(no mean)_normal_KL06_132810_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2408026755852843,0.3238573021181717,0.35418060200668955,0.40036231884058,0.34240895577852126,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3308834593692165,0.15719063545150502,0.45484949832775917,0.7023411371237458,0.7090301003344481,0.34240895577852126,0.05316903744934628,0.21056338028169014,0.068164563896664,14.67037919462051,0.6476058959960938,20.86376953125
aiopsGVAR_(no mean)_normal_KL06_133102_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2709030100334448,0.3171683389074692,0.32775919732441533,0.3745261984392423,0.3257436162870947,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34810258314509207,0.17391304347826086,0.45484949832775917,0.6321070234113713,0.7190635451505016,0.3257436162870947,0.02952907518918992,0.21056338028169014,0.08667923295776979,11.536788754086011,9.899215698242188,57.1650390625
aiopscLSTM_(no mean)_normal_KL06_133504_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.25418060200668896,0.3121516164994429,0.3351170568561875,0.3420847268673356,0.3170419918246006,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.31712461473088227,0.15719063545150502,0.391304347826087,0.5953177257525084,0.68561872909699,0.3170419918246006,0.0282457037360569,0.21056338028169014,0.0696103939643273,14.365670743257999,9.389762878417969,56.27099609375
aiopsvlinear_(no mean)_normal_KL06_134350_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2827763496143959,0.3526135389888609,0.38534704370179934,0.4380605541273925,0.3771677479903703,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3473720258801369,0.17994858611825193,0.40359897172236503,0.7017994858611826,0.7557840616966581,0.3771677479903703,0.04951390732533705,0.27588652482269505,0.08258177627328123,12.109209139444767,0.6769790649414062,21.28369140625
aiopsGVAR_(no mean)_normal_KL06_134716_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2879177377892031,0.3080548414738644,0.32904884318766153,0.39088117680662665,0.3314193903782594,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3725404851161773,0.20051413881748073,0.4652956298200514,0.6246786632390745,0.7197943444730077,0.3314193903782594,0.03141078560106613,0.27588652482269505,0.06753245172279966,14.807695774243445,15.109329223632812,78.06591796875
aiopscLSTM_(no mean)_normal_KL06_135214_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2390745501285347,0.2643530419880037,0.2956298200514141,0.35781919451585226,0.2949134941037256,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3038461456668266,0.15167095115681234,0.30077120822622105,0.5295629820051414,0.7043701799485861,0.2949134941037256,0.03662201900775832,0.27588652482269505,0.07272102838923201,13.751180671532865,9.389762878417969,56.3818359375
------ original window------


aiopsvlinear_(no mean)_normal_KL06_143632_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.30057803468208094,0.36801541425818873,0.408092485549133,0.4633108542068082,0.3989636663914121,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37533718689788054,0.2138728323699422,0.42196531791907516,0.791907514450867,0.791907514450867,0,0,0,0.10493711929100787,9.529516407124115,0,0
