scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdbaro_(no mean)_normal_KL04_175324_20_0.0001_7_window_20,smd,7,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175416_6_0.0001_2_window_6,smd,2,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175456_6_0.0001_3_window_6,smd,3,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175541_6_0.0001_4_window_6,smd,4,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175625_6_0.0001_5_window_6,smd,5,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175706_6_0.0001_6_window_6,smd,6,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175750_6_0.0001_7_window_6,smd,7,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3194871794871795,0.34225641025641024,0.43744322344322356,0.3611345543345543,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdvlinear_(no mean)_normal_KL04_195304_30_0.0001_1_window_30,smd,1,normal_KL,vlinear_mean_max,16,2,0.0001,0.40615384615384614,0.39076923076923065,0.36569230769230765,0.3834273504273505,0.3825711843711843,183867,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_200551_10_0.0001_1_window_10,smd,1,normal_KL,vlinear_mean_max,16,2,0.0001,0.4307692307692308,0.3999999999999998,0.381948717948718,0.40973626373626354,0.4004311355311354,168467,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_202359_20_0.0001_1_window_20,smd,1,normal_KL,vlinear_mean_max,16,2,0.0001,0.3323076923076923,0.3399999999999998,0.33871794871794875,0.3672673992673995,0.3458811965811966,176167,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_203749_6_0.0001_1_window_6,smd,1,normal_KL,vlinear_mean_max,16,2,0.0001,0.46153846153846156,0.4671794871794872,0.46615384615384625,0.512763125763126,0.4797931623931625,165387,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_213005_30_0.0001_1_window_30,smd,1,normal_KL,vlinear_mean_max_std,16,2,0.0001,0.36615384615384616,0.32923076923076916,0.30564102564102563,0.31612210012209996,0.320510989010989,183610,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_214334_10_0.0001_1_window_10,smd,1,normal_KL,vlinear_mean_max_std,16,2,0.0001,0.4307692307692308,0.4425641025641022,0.4201538461538461,0.449873015873016,0.4318089133089133,168210,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_220254_20_0.0001_1_window_20,smd,1,normal_KL,vlinear_mean_max_std,16,2,0.0001,0.3476923076923077,0.3533333333333332,0.3477435897435897,0.3689499389499392,0.355141391941392,175910,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_221819_6_0.0001_1_window_6,smd,1,normal_KL,vlinear_mean_max_std,16,2,0.0001,0.4307692307692308,0.43641025641025677,0.4304615384615385,0.48644078144078157,0.4471197802197803,165130,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdrcd_(no mean)_normal_KL04_231241_30_0.0001_1_window_30,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdtorai_(no mean)_normal_KL04_231511_30_0.0001_1_window_30,smd,1,normal_KL,torai,256,2,0.0001,0.2676923076923077,0.2533333333333333,0.25789743589743575,0.31085103785103785,0.27469975579975575,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdrcd_(no mean)_normal_KL04_231832_10_0.0001_1_window_10,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdtorai_(no mean)_normal_KL04_232041_10_0.0001_1_window_10,smd,1,normal_KL,torai,256,2,0.0001,0.24923076923076923,0.2553846153846154,0.27164102564102555,0.3241526251526252,0.28080451770451764,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdrcd_(no mean)_normal_KL04_232347_20_0.0001_1_window_20,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdtorai_(no mean)_normal_KL04_232615_20_0.0001_1_window_20,smd,1,normal_KL,torai,256,2,0.0001,0.26461538461538464,0.2697435897435897,0.2769743589743589,0.32752258852258853,0.28765323565323564,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdrcd_(no mean)_normal_KL04_232927_6_0.0001_1_window_6,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdtorai_(no mean)_normal_KL04_233132_6_0.0001_1_window_6,smd,1,normal_KL,torai,256,2,0.0001,0.30153846153846153,0.28153846153846146,0.31102564102564095,0.38799755799755825,0.323069474969475,0,6,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdvlinear_(no mean)_normal_KL04_234323_30_0.0001_1_window_30,smd,1,normal_KL,vlinear,16,2,0.0001,0.4,0.37589743589743574,0.3606153846153845,0.37444932844932843,0.3718200244200244,183611,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_000238_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.40307692307692305,0.41282051282051263,0.40589743589743577,0.4407765567765572,0.4169604395604396,168211,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_002721_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.3723076923076923,0.3723076923076924,0.37230769230769223,0.40077533577533603,0.379774358974359,175911,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_004741_6_0.0001_1_window_6,smd,1,normal_KL,vlinear,16,2,0.0001,0.37846153846153846,0.40153846153846173,0.4002564102564102,0.4623894993894995,0.4157791208791209,165131,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_103022_30_0.0001_1_window_30,smd,1,normal_KL,vlinear,16,2,0.0001,0.36615384615384616,0.32923076923076916,0.30564102564102563,0.31612210012209996,0.320510989010989,183610,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_104401_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.4425641025641022,0.4201538461538461,0.449873015873016,0.4318089133089133,168210,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_110301_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.3476923076923077,0.3533333333333332,0.3477435897435897,0.3689499389499392,0.355141391941392,175910,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_111800_6_0.0001_1_window_6,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.43641025641025677,0.4304615384615385,0.48644078144078157,0.4471197802197803,165130,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_114821_30_0.0001_1_window_30,smd,1,normal_KL,vlinear,16,2,0.0001,0.36615384615384616,0.32923076923076916,0.30564102564102563,0.31612210012209996,0.320510989010989,183610,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_120153_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.4425641025641022,0.4201538461538461,0.449873015873016,0.4318089133089133,168210,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_122115_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.3476923076923077,0.3533333333333332,0.3477435897435897,0.3689499389499392,0.355141391941392,175910,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_123634_6_0.0001_1_window_6,smd,1,normal_KL,vlinear,16,2,0.0001,0.4307692307692308,0.43641025641025677,0.4304615384615385,0.48644078144078157,0.4471197802197803,165130,6,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_130710_8_0.0001_1_window_8,smd,1,normal_KL,vlinear,16,2,0.0001,0.3446153846153846,0.35538461538461535,0.3422051282051281,0.36362881562881566,0.35387680097680085,166670,8,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_132718_12_0.0001_1_window_12,smd,1,normal_KL,vlinear,16,2,0.0001,0.35384615384615387,0.31846153846153813,0.3155897435897436,0.3286385836385836,0.32504236874236864,169750,12,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_134444_16_0.0001_1_window_16,smd,1,normal_KL,vlinear,16,2,0.0001,0.3169230769230769,0.30666666666666653,0.31230769230769223,0.35770818070818067,0.32252124542124533,172830,16,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_141451_4_0.0001_1_window_4,smd,1,normal_KL,vlinear,16,2,0.0001,0.42153846153846153,0.4507692307692303,0.4582564102564101,0.501741147741148,0.46651477411477416,163590,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL05_153233_4_0.0001_2_window_4,smd,2,normal_KL,vlinear,16,2,0.0001,0.4246153846153846,0.42923076923076886,0.44471794871794895,0.49661538461538474,0.4562217338217338,163590,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
