scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
swatcLSTM_(no mean)_normal_KL23_172720_8_0.0001_3_window_8,swat,3,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03899214421289609,0.0,0.0,0.0,0.1,0.33999999999999997,0.019999999999999997,1.0,0.3626252378500567,2.7576679602578955,18.272762298583984,701.44140625,0,0,0,0,1,0
swatCUTS_PLUS_(no mean)_normal_KL23_172913_8_0.0001_3_window_8,swat,3,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.25,0.35,0.475,0.34500000000000003,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.051790925865223034,0.0,0.0,0.05,0.1,0.34500000000000003,0.1004987562112089,1.0,0.288569878349972,3.4653651507840997,0.567840576171875,642.3984375,0,0,0,0,1,0
swatvlinear_(no mean)_normal_KL23_173052_8_0.0001_3_window_8,swat,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.35,0.305,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08220860570418512,0.0,0.05,0.1,0.25,0.305,0.04716990566028301,1.0,0.06145285254992814,16.272637615764662,0.6311378479003906,511.89453125,0,0,0,0,1,0
swatcMLP_(no mean)_normal_KL23_173231_8_0.0001_3_window_8,swat,3,normal_KL,cMLP,128,0,0.0001,0.1,0.2,0.3,0.55,0.34500000000000003,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.058685313822373186,0.0,0.0,0.0,0.1,0.34500000000000003,0.14739402972983676,1.0,0.10464798770003654,9.555845477568136,9.158504486083984,667.28515625,0,0,0,0,1,0
swatdeep_mlp_(no mean)_normal_KL23_173406_8_0.0001_3_window_8,swat,3,normal_KL,deep_mlp,128,0,0.0001,0.15,0.3,0.35,0.5,0.37,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.035865820487011695,0.0,0.0,0.0,0.05,0.37,0.11661903789690602,1.0,0.5267610791999686,1.8983938629611259,36.88962173461914,646.29296875,0,0,0,0,1,0
swatiTransformer_(no mean)_normal_KL29_171012_8_0.0001_1_window_8,swat,1,normal_KL,iTransformer,128,0,0.0001,0.2,0.25,0.35,0.525,0.36250000000000004,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06907111716809954,0.0,0.1,0.1,0.2,0.36250000000000004,0.1125,1.0,0.08119927339992046,12.315381137400419,0.9864616394042969,351.33984375,0,0,0,0,1,0
swatTimeMixerpp_(no mean)_normal_KL29_171157_8_0.0001_1_window_8,swat,1,normal_KL,TimeMixerpp,128,0,0.0001,0.2,0.25,0.3,0.4,0.315,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08662602412353242,0.0,0.1,0.1,0.15,0.315,0.06726812023536856,1.0,0.11741736809999566,8.516627618057102,3.2719764709472656,574.81640625,0,0,0,0,1,0
swatiTransformer_(no mean)_normal_KL29_171333_8_0.0001_2_window_8,swat,2,normal_KL,iTransformer,128,0,0.0001,0.15,0.15,0.2,0.35,0.23000000000000004,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09524960062798614,0.0,0.1,0.1,0.25,0.23000000000000004,0.08426149773176357,1.0,0.08575845429998026,11.660657927695768,0.9864616394042969,467.77734375,0,0,0,0,1,0
swatTimeMixerpp_(no mean)_normal_KL29_171512_8_0.0001_2_window_8,swat,2,normal_KL,TimeMixerpp,128,0,0.0001,0.15,0.2,0.25,0.375,0.2525,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04831895551496,0.0,0.0,0.0,0.15,0.2525,0.06656763477847175,1.0,0.1055639294499997,9.472932707318833,3.2719764709472656,600.5625,0,0,0,0,1,0
swatiTransformer_(no mean)_normal_KL29_171646_8_0.0001_3_window_8,swat,3,normal_KL,iTransformer,128,0,0.0001,0.15,0.15,0.2,0.375,0.255,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07033552687753403,0.0,0.1,0.15,0.2,0.255,0.09273618495495704,1.0,0.07393034075007562,13.526246326667676,0.9864616394042969,421.85546875,0,0,0,0,1,0
