scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
wadideep_mlp_(no mean)_normal_KL29_150129_8_0.0001_2_window_8,wadi,2,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.12222222222222222,0.11333333333333333,0.11111111111111112,0.11077777777777778,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08651627749395778,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11077777777777778,0.016208898638147146,1.0,0.1429221420666484,6.99681648721493,169.6851806640625,1852.0625,0,0,0,0,1,0,4.764568375353452,10.040957089908167,0.6693971393272111
wadicMLP_(no mean)_normal_KL29_150146_8_0.0001_2_window_8,wadi,2,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.29333333333333333,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0917895915156509,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.29333333333333333,0.03265986323710904,1.0,0.04560922673332849,21.925388164260628,55.625526428222656,1780.21875,0,0,0,0,1,0,4.6545209997464765,3.0755389360002274,0.20503592906668183
wadicLSTM_(no mean)_normal_KL29_150159_8_0.0001_2_window_8,wadi,2,normal_KL,cLSTM,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.28,0.3,0.28133333333333327,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0967111607917673,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.28133333333333327,0.013154354299509986,1.0,0.11518643919995762,8.681577509866873,64.18314361572266,1794.40625,0,0,0,0,1,0,4.876701558668609,8.294766926409697,0.5529844617606464
wadiCUTS_PLUS_(no mean)_normal_KL29_150214_8_0.0001_2_window_8,wadi,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.31111111111111106,0.23777777777777778,163584,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20809576092184787,0.06666666666666667,0.2,0.3333333333333333,0.7333333333333333,0.23777777777777778,0.04251361437713108,1.0,0.10503545380012534,9.520594845078936,0.9966239929199219,1675.421875,0,0,0,0,1,0,3.1429981790379276,4.863660650274913,0.3242440433516609
wadiiTransformer_(no mean)_normal_KL29_150227_8_0.0001_2_window_8,wadi,2,normal_KL,iTransformer,128,0,0.0001,0.3333333333333333,0.3,0.3,0.3777777777777778,0.32222222222222224,201351,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12034448633007,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.32222222222222224,0.02939723678960658,1.0,0.010809502066725448,92.5111992973542,1.1406936645507812,1676.296875,0,0,0,0,1,0,4.5160558535182656,0.6606265906516893,0.04404177271011262
wadiTimeMixerpp_(no mean)_normal_KL29_150239_8_0.0001_2_window_8,wadi,2,normal_KL,TimeMixerpp,128,0,0.0001,0.26666666666666666,0.23333333333333334,0.3,0.3,0.2833333333333333,199929,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08677575963841892,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2833333333333333,0.026874192494328493,1.0,0.01148514906665999,87.06896133397868,3.5766754150390625,1678.40625,0,0,0,0,1,0,4.41710642233712,0.6117624162273593,0.04078416108182395
wadivlinear_(no mean)_normal_KL29_150251_8_0.0001_3_window_8,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30333333333333334,35328,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1268055500469617,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30333333333333334,0.03480102169636849,1.0,0.007134233000003102,140.16923753395287,0.5076103210449219,1676.921875,0,0,0,0,1,0,5.515198400772193,0.5474884599492951,0.036499230663286336
wadiGVAR_(no mean)_normal_KL29_150303_8_0.0001_3_window_8,wadi,3,normal_KL,GVAR,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06,14794759,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1006488923458071,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06,0.013333333333333332,1.0,0.0443366485333172,22.55470436040154,56.81012725830078,1735.984375,0,0,0,0,1,0,4.445885804486909,2.996417181299911,0.19976114541999407
wadideep_mlp_(no mean)_normal_KL29_150317_8_0.0001_3_window_8,wadi,3,normal_KL,deep_mlp,128,0,0.0001,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03666666666666667,44384277,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10059968182319017,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.009999999999999998,1.0,0.1427684186666435,7.004350187102273,169.6851806640625,1852.0625,0,0,0,0,1,0,4.786803671160388,10.307019266800085,0.6871346177866723
wadicMLP_(no mean)_normal_KL29_150333_8_0.0001_3_window_8,wadi,3,normal_KL,cMLP,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,14484223,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09197427412665446,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.04413287613330492,22.658845006599265,55.625526428222656,1780.25,0,0,0,0,1,0,4.274322340002082,2.8255463060353927,0.18836975373569284
wadicLSTM_(no mean)_normal_KL29_150347_8_0.0001_3_window_8,wadi,3,normal_KL,cLSTM,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.27777777777777773,0.27555555555555555,16727551,0,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10577878370368782,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.27555555555555555,0.01975154314959019,1.0,0.10899263526665284,9.174931843362428,64.18314361572266,1794.40625,0,0,0,0,1,0,5.123913853843141,8.220811998284326,0.548054133218955
