scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdvlinear_(no mean)_normal_KL29_002711_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4430769230769231,0.39333333333333315,0.3721025641025641,0.38419902319902316,0.38864407814407814,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_004255_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4676923076923077,0.3923076923076921,0.35820512820512823,0.36500244200244203,0.38383040293040294,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL29_005746_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4676923076923077,0.39948717948717916,0.3636923076923077,0.3715579975579975,0.3877499389499389,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL29_011155_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4584615384615385,0.3984615384615381,0.3682051282051282,0.370929181929182,0.3896083028083027,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_012624_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4523076923076923,0.388205128205128,0.3605641025641026,0.36633577533577527,0.3807173382173382,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL29_014017_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4553846153846154,0.38717948717948697,0.35964102564102557,0.3656691086691086,0.3793838827838828,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL29_015439_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4492307692307692,0.3887179487179483,0.35979487179487174,0.35723199023199026,0.37755164835164823,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_020939_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4523076923076923,0.40307692307692283,0.3730256410256412,0.380126984126984,0.39211184371184366,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL29_022344_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4430769230769231,0.3953846153846152,0.3578461538461539,0.36497313797313785,0.38005921855921854,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL29_023810_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4492307692307692,0.3938461538461535,0.36651282051282047,0.3684590964590964,0.38498485958485945,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_053909_6_0.0001_7_window_6 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.48615384615384616,0.4497435897435903,0.4210256410256408,0.4464420024420026,0.4427938949938951,145319,6,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdGVAR_(no mean)_normal_KL29_060041_6_0.0001_7_window_6 (with orth),smd,7,normal_KL,GVAR,256,2,0.0001,0.20307692307692307,0.19538461538461535,0.2207692307692308,0.30080463980463973,0.23596300366300366,42457220,6,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_063548_8_0.0001_7_window_8 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.40615384615384614,0.3825641025641026,0.36487179487179466,0.3718168498168498,0.3755612942612942,146497,8,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdGVAR_(no mean)_normal_KL29_065523_8_0.0001_7_window_8 (with orth),smd,7,normal_KL,GVAR,256,2,0.0001,0.14153846153846153,0.17179487179487182,0.19169230769230772,0.25715873015873003,0.19789804639804637,59440108,8,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_072948_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5692307692307692,0.49487179487179545,0.4553846153846151,0.4723040293040294,0.48691562881562894,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdGVAR_(no mean)_normal_KL29_074817_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,GVAR,256,2,0.0001,0.15692307692307692,0.176923076923077,0.19835897435897437,0.28565811965811966,0.21461452991452995,76422996,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_082223_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4430769230769231,0.39333333333333315,0.3721025641025641,0.38419902319902316,0.38864407814407814,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdGVAR_(no mean)_normal_KL29_083740_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,GVAR,256,2,0.0001,0.09846153846153846,0.10923076923076927,0.13487179487179493,0.2217106227106226,0.15006678876678875,161337436,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL29_091254_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4492307692307692,0.3938461538461535,0.36651282051282047,0.3684590964590964,0.38498485958485945,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdGVAR_(no mean)_normal_KL29_092645_30_0.0001_7_window_30 (with orth),smd,7,normal_KL,GVAR,256,2,0.0001,0.09538461538461539,0.11538461538461539,0.15025641025641032,0.26241880341880347,0.16454481074481078,246251876,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
