scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
gaiatorai_(no mean)_normal_KL13_001418_8_0.0001_1_window_8,gaia,1,normal_KL,torai,128,0,0.0001,0.21714285714285714,0.22095238095238065,0.35733333333333317,0.6112380952380936,0.4195878684807255,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3819149187523048,0.21714285714285714,0.38571428571428573,0.5542857142857143,0.82,0.4195878684807255,0.1795692002881527,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL13_001721_8_0.0001_1_window_8,gaia,1,normal_KL,baro,128,0,0.0001,0.14,0.1485714285714287,0.210476190476191,0.2525714285714284,0.19693571428571438,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2566263524123903,0.2057142857142857,0.2342857142857143,0.28,0.31142857142857144,0.19693571428571438,0.055585449377869446,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL13_001818_8_0.0001_1_window_8,gaia,1,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL13_002801_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,256,0,0.0001,0.24,0.30571428571428577,0.31047619047619024,0.32390476190476203,0.3022413832199546,177426,10,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36009000931978075,0.24,0.46285714285714286,0.4657142857142857,0.52,0.3022413832199546,0.0333979639080736,1.0,0.10513085229056222,9.511955607818958,1.4562530517578125,21.61181640625,186.9291582107544,6.445833041750151,14858.591493085774,1195.5,0
gaiatorai_(no mean)_normal_KL13_003532_10_0.0001_1_window_10,gaia,1,normal_KL,torai,128,0,0.0001,0.20857142857142857,0.21619047619047593,0.3580952380952379,0.609523809523808,0.41595351473922887,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37143766795514516,0.20857142857142857,0.37142857142857144,0.5542857142857143,0.8142857142857143,0.41595351473922887,0.1818632226042556,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL13_003830_10_0.0001_1_window_10,gaia,1,normal_KL,baro,128,0,0.0001,0.14285714285714285,0.14952380952380964,0.2087619047619053,0.2514285714285713,0.19597936507936517,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25769225159257514,0.20857142857142857,0.23714285714285716,0.26857142857142857,0.30857142857142855,0.19597936507936517,0.05311271454139926,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL13_003927_10_0.0001_1_window_10,gaia,1,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL13_004910_12_0.0001_1_window_12,gaia,1,normal_KL,vlinear,256,0,0.0001,0.28,0.28190476190476244,0.2961904761904764,0.3110476190476196,0.28982868480725643,178966,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.38234834301915044,0.28,0.46285714285714286,0.46285714285714286,0.5171428571428571,0.28982868480725643,0.022149308306272954,1.0,0.09228695120130266,10.835768079701008,1.4622955322265625,21.77490234375,362.33657598495483,6.247182344568187,12771.037501309673,1456.10986328125,0
gaiatorai_(no mean)_normal_KL13_005930_12_0.0001_1_window_12,gaia,1,normal_KL,torai,128,0,0.0001,0.21142857142857144,0.21238095238095211,0.35580952380952363,0.6109523809523792,0.4159721088435372,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3723537360140704,0.21142857142857144,0.3628571428571429,0.5514285714285714,0.82,0.4159721088435372,0.18249494919845555,1.0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL13_010230_12_0.0001_1_window_12,gaia,1,normal_KL,baro,128,0,0.0001,0.14285714285714285,0.1476190476190477,0.2024761904761909,0.2517142857142856,0.19427165532879828,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25588042373789016,0.20857142857142857,0.22857142857142856,0.25142857142857145,0.30857142857142855,0.19427165532879828,0.05309703999696643,1.0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL13_010328_12_0.0001_1_window_12,gaia,1,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0
gaiavlinear_(no mean)_normal_KL13_011251_14_0.0001_1_window_14,gaia,1,normal_KL,vlinear,256,0,0.0001,0.12,0.2214285714285712,0.21400000000000005,0.25838095238095266,0.21084353741496606,180506,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25660274557464313,0.12,0.3628571428571429,0.3628571428571429,0.3657142857142857,0.21084353741496606,0.03432125681754452,1.0,0.08787150042397636,11.380254066165268,1.4683685302734375,21.9375,214.42584919929504,6.126452834265573,11160.291583016231,1716.32861328125,0
gaiavlinear_(no mean)_normal_KL13_012924_8_0.0001_2_window_8,gaia,2,normal_KL,vlinear,256,0,0.0001,0.15714285714285714,0.31190476190476224,0.3672380952380953,0.39466666666666655,0.3314314058956917,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34988513202284593,0.15714285714285714,0.46285714285714286,0.5314285714285715,0.5857142857142857,0.3314314058956917,0.06686515073209313,1.0,0.10588402543749129,9.444295264259203,1.45074462890625,21.45166015625,677.0464732646942,6.637710522202885,18041.160366881653,935.26611328125,0
gaiaGVAR_(no mean)_normal_KL13_014712_8_0.0001_2_window_8,gaia,2,normal_KL,GVAR,256,0,0.0001,0.2571428571428571,0.23761904761904726,0.2715238095238093,0.28438095238095307,0.2640757369614512,5049436,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.352595047109753,0.2571428571428571,0.38285714285714284,0.39714285714285713,0.4542857142857143,0.2640757369614512,0.016262342491171804,1.0,0.08476260593959263,11.797655214997345,20.041114807128906,96.7724609375,885.31187915802,4.4265593957901,27053.065212203113,270.08837890625,0
