scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage
aiopsrcd_(no mean)_normal_KL05_171743_6_0.0001_3_window_6,aiops,3,normal_KL,rcd,256,2,0.0001,0.09090909090909091,0.2196969696969697,0.24753787878787845,0.39848484848484866,0.26636544011544017,0,6,0,100,0,0,128,2,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A
aiopsvlinear_(no mean)_normal_KL05_173344_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.20454545454545459,0.17935606060606066,0.39848484848484866,0.24969877344877353,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5681818181818182,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.6022727272727273,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_173419_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.20833333333333337,0.17556818181818187,0.3473484848484848,0.2209108946608947,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.6136363636363636,0.7045454545454546,1.0,0.10227272727272728,0.6590909090909091,0.7045454545454546,0.7159090909090909,18.565400843881857
aiopscLSTM_(no mean)_normal_KL05_173455_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.30757575757575767,0.20765331890331895,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.6477272727272727,1.0,0.11363636363636363,0.6590909090909091,0.7045454545454546,0.7272727272727273,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_173627_6_0.0001_2_window_6,aiops,2,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.12499999999999996,0.18617424242424258,0.3814393939393939,0.227107683982684,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5795454545454546,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.2840909090909091,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_173700_6_0.0001_2_window_6,aiops,2,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.21401515151515155,0.19071969696969696,0.33409090909090916,0.22526695526695534,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5681818181818182,1.0,1.0,1.0,0.09090909090909091,0.6136363636363636,0.7159090909090909,1.0,0.09090909090909091,0.6477272727272727,0.7045454545454546,0.7159090909090909,18.565400843881857
aiopscLSTM_(no mean)_normal_KL05_173742_6_0.0001_2_window_6,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.31515151515151524,0.20841089466089474,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.625,0.7045454545454546,1.0,0.11363636363636363,0.625,0.6590909090909091,0.7045454545454546,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_173921_6_0.0001_3_window_6,aiops,3,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.21212121212121213,0.23617424242424215,0.39848484848484866,0.2625775613275613,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5681818181818182,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.6704545454545454,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_173959_6_0.0001_3_window_6,aiops,3,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.318939393939394,0.2121987734487735,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6136363636363636,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.6931818181818182,1.0,0.13636363636363635,0.6590909090909091,0.6818181818181818,0.7159090909090909,18.565400843881857
aiopscLSTM_(no mean)_normal_KL05_174035_6_0.0001_3_window_6,aiops,3,normal_KL,cLSTM,256,2,0.0001,0.10227272727272728,0.2159090909090909,0.17935606060606066,0.3340909090909092,0.2237518037518038,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6477272727272727,1.0,1.0,1.0,0.10227272727272728,0.625,0.6704545454545454,1.0,0.1590909090909091,0.7045454545454546,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_174310_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.0967741935483871,0.22849462365591375,0.2606182795698921,0.4092549923195082,0.27725038402457736,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6048387096774194,1.0,1.0,1.0,0.0967741935483871,0.6370967741935484,0.7338709677419355,1.0,0.0967741935483871,0.717741935483871,0.7338709677419355,0.7338709677419355,26.382978723404253
aiopsGVAR_(no mean)_normal_KL05_174349_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.10483870967741936,0.23118279569892458,0.19852150537634378,0.36758832565284155,0.24096038146441362,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6048387096774194,1.0,1.0,1.0,0.10483870967741936,0.6532258064516129,0.7419354838709677,1.0,0.10483870967741936,0.6532258064516129,0.7258064516129032,0.7580645161290323,26.382978723404253
aiopscLSTM_(no mean)_normal_KL05_174438_10_0.0001_1_window_10,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.08064516129032258,0.21505376344086005,0.1659946236559138,0.2950076804915515,0.2041055427547363,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6209677419354839,1.0,1.0,1.0,0.08064516129032258,0.5806451612903226,0.6693548387096774,1.0,0.13709677419354838,0.717741935483871,0.7338709677419355,0.7741935483870968,26.382978723404253
aiopsvlinear_(no mean)_normal_KL05_174612_10_0.0001_2_window_10,aiops,2,normal_KL,vlinear,16,2,0.0001,0.0967741935483871,0.225806451612903,0.23239247311827918,0.4092549923195082,0.27026113671274943,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5967741935483871,1.0,1.0,1.0,0.0967741935483871,0.6451612903225806,0.7338709677419355,1.0,0.0967741935483871,0.6774193548387096,0.7258064516129032,0.7338709677419355,26.382978723404253
aiopsGVAR_(no mean)_normal_KL05_174655_10_0.0001_2_window_10,aiops,2,normal_KL,GVAR,256,2,0.0001,0.10483870967741936,0.22043010752688155,0.17836021505376323,0.3579109062980028,0.23499711981566812,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6209677419354839,1.0,1.0,1.0,0.10483870967741936,0.6129032258064516,0.7419354838709677,1.0,0.12096774193548387,0.6451612903225806,0.7258064516129032,0.7580645161290323,26.382978723404253
aiopscLSTM_(no mean)_normal_KL05_174740_10_0.0001_2_window_10,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.08064516129032258,0.20967741935483855,0.16438172043010732,0.31033026113671264,0.20591013824884782,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5806451612903226,1.0,1.0,1.0,0.08064516129032258,0.6129032258064516,0.6935483870967742,1.0,0.08064516129032258,0.6370967741935484,0.6532258064516129,0.7661290322580645,26.382978723404253
aiopsvlinear_(no mean)_normal_KL05_174917_10_0.0001_3_window_10,aiops,3,normal_KL,vlinear,16,2,0.0001,0.20161290322580644,0.17204301075268805,0.23803763440860176,0.4019969278033791,0.2707894905273935,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6048387096774194,1.0,1.0,1.0,0.20161290322580644,0.6370967741935484,0.7338709677419355,1.0,0.20161290322580644,0.29838709677419356,0.7258064516129032,0.7338709677419355,26.382978723404253
aiopsGVAR_(no mean)_normal_KL05_174954_10_0.0001_3_window_10,aiops,3,normal_KL,GVAR,256,2,0.0001,0.0967741935483871,0.22715053763440843,0.18830645161290288,0.3323732718894008,0.2291225038402457,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6612903225806451,1.0,1.0,1.0,0.0967741935483871,0.6209677419354839,0.717741935483871,1.0,0.1532258064516129,0.6774193548387096,0.7096774193548387,0.75,26.382978723404253
aiopscLSTM_(no mean)_normal_KL05_175045_10_0.0001_3_window_10,aiops,3,normal_KL,cLSTM,256,2,0.0001,0.10483870967741936,0.225806451612903,0.1858870967741933,0.325652841781874,0.2258723758320532,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6612903225806451,1.0,1.0,1.0,0.10483870967741936,0.6290322580645161,0.6693548387096774,1.0,0.1532258064516129,0.7258064516129032,0.7338709677419355,0.7419354838709677,26.382978723404253
aiopsvlinear_(no mean)_normal_KL05_175316_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.21674876847290642,0.27093596059113373,0.25418719211822705,0.44776565798733287,0.3163970990695132,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6551724137931034,1.0,1.0,1.0,0.21674876847290642,0.5270935960591133,0.7783251231527094,1.0,0.5467980295566502,0.7536945812807881,0.7783251231527094,0.7783251231527094,44.130434782608695
aiopsGVAR_(no mean)_normal_KL05_175411_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.10344827586206896,0.24137931034482774,0.2149425287356321,0.36767534600046925,0.2503956525138791,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.625615763546798,1.0,1.0,1.0,0.10344827586206896,0.6403940886699507,0.7684729064039408,1.0,0.13793103448275862,0.6699507389162561,0.7438423645320197,0.7881773399014779,44.130434782608695
aiopscLSTM_(no mean)_normal_KL05_175521_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.06403940886699508,0.20853858784893264,0.1737274220032838,0.2812749237626082,0.20096586910626307,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5812807881773399,1.0,1.0,1.0,0.06403940886699508,0.5714285714285714,0.7192118226600985,1.0,0.07881773399014778,0.7192118226600985,0.7586206896551724,0.7980295566502463,44.130434782608695
aiopsvlinear_(no mean)_normal_KL05_175711_20_0.0001_2_window_20,aiops,2,normal_KL,vlinear,16,2,0.0001,0.21674876847290642,0.18883415435139547,0.2204433497536946,0.4210591133004932,0.27403764954257576,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6551724137931034,1.0,1.0,1.0,0.21674876847290642,0.4630541871921182,0.7783251231527094,1.0,0.5467980295566502,0.7389162561576355,0.7783251231527094,0.7783251231527094,44.130434782608695
aiopsGVAR_(no mean)_normal_KL05_175811_20_0.0001_2_window_20,aiops,2,normal_KL,GVAR,256,2,0.0001,0.09359605911330049,0.23399014778325142,0.1945812807881772,0.3359781843771991,0.2344794354523418,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6206896551724138,1.0,1.0,1.0,0.09359605911330049,0.6157635467980296,0.7832512315270936,1.0,0.1477832512315271,0.6798029556650246,0.7339901477832512,0.7832512315270936,44.130434782608695
aiopscLSTM_(no mean)_normal_KL05_175921_20_0.0001_2_window_20,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.04926108374384237,0.21346469622331699,0.17963875205254498,0.2977949800609896,0.20573461568535448,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5714285714285714,1.0,1.0,1.0,0.04926108374384237,0.6059113300492611,0.7241379310344828,1.0,0.04926108374384237,0.6157635467980296,0.6600985221674877,0.7980295566502463,44.130434782608695
aiopsvlinear_(no mean)_normal_KL05_180107_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,16,2,0.0001,0.10837438423645321,0.22495894909687994,0.2184729064039409,0.42229064039408937,0.2799161388693411,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5369458128078818,1.0,1.0,1.0,0.10837438423645321,0.6699507389162561,0.7783251231527094,1.0,0.10837438423645321,0.5812807881773399,0.7733990147783252,0.7783251231527094,44.130434782608695
aiopsGVAR_(no mean)_normal_KL05_180204_20_0.0001_3_window_20,aiops,3,normal_KL,GVAR,256,2,0.0001,0.10344827586206896,0.2348111658456488,0.19991789819376016,0.34038822425521936,0.2397732426303854,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6354679802955665,1.0,1.0,1.0,0.10344827586206896,0.6059113300492611,0.7586206896551724,1.0,0.13793103448275862,0.6551724137931034,0.7339901477832512,0.7783251231527094,44.130434782608695
aiopscLSTM_(no mean)_normal_KL05_180316_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,2,0.0001,0.1477832512315271,0.2233169129720855,0.19121510673234812,0.3220384705606378,0.23301079052310567,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.625615763546798,1.0,1.0,1.0,0.1477832512315271,0.645320197044335,0.6847290640394089,1.0,0.17733990147783252,0.6600985221674877,0.7389162561576355,0.7931034482758621,44.130434782608695
aiopsvlinear_(no mean)_normal_KL05_180601_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.12213740458015267,0.2493638676844789,0.24026717557251967,0.44860959651036075,0.3006730885738525,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5992366412213741,1.0,1.0,1.0,0.12213740458015267,0.6412213740458015,0.8053435114503816,1.0,0.12213740458015267,0.6526717557251909,0.8015267175572519,0.8053435114503816,58.22222222222222
aiopsGVAR_(no mean)_normal_KL05_180710_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.14122137404580154,0.2620865139949113,0.23358778625954224,0.35276717557251963,0.2639381134133044,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6335877862595419,1.0,1.0,1.0,0.14122137404580154,0.6297709923664122,0.7977099236641222,1.0,0.20229007633587787,0.7137404580152672,0.7709923664122137,0.8053435114503816,58.22222222222222
aiopscLSTM_(no mean)_normal_KL05_180850_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.0916030534351145,0.22391857506361362,0.20152671755725204,0.2905398037077428,0.2205806979280262,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5954198473282443,1.0,1.0,1.0,0.0916030534351145,0.5648854961832062,0.7480916030534351,1.0,0.11068702290076336,0.7938931297709924,0.8015267175572519,0.8053435114503816,58.22222222222222
aiopsvlinear_(no mean)_normal_KL05_181057_30_0.0001_2_window_30,aiops,2,normal_KL,vlinear,16,2,0.0001,0.12213740458015267,0.2544529262086519,0.24866412213740524,0.4497546346782997,0.30355310190233903,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6183206106870229,1.0,1.0,1.0,0.12213740458015267,0.6412213740458015,0.8053435114503816,1.0,0.12213740458015267,0.6679389312977099,0.8015267175572519,0.8053435114503816,58.22222222222222
aiopsGVAR_(no mean)_normal_KL05_181209_30_0.0001_2_window_30,aiops,2,normal_KL,GVAR,256,2,0.0001,0.1183206106870229,0.2519083969465653,0.21711195928753202,0.359492002908034,0.25625863322428233,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6603053435114504,1.0,1.0,1.0,0.1183206106870229,0.6335877862595419,0.7900763358778626,1.0,0.18702290076335878,0.6908396946564885,0.7557251908396947,0.8053435114503816,58.22222222222222
aiopscLSTM_(no mean)_normal_KL05_181341_30_0.0001_2_window_30,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.08396946564885496,0.24173027989821902,0.2061068702290079,0.30410759723736874,0.22864019144553507,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5954198473282443,1.0,1.0,1.0,0.08396946564885496,0.6145038167938931,0.7061068702290076,1.0,0.08396946564885496,0.6106870229007634,0.6717557251908397,0.8053435114503816,58.22222222222222
aiopsvlinear_(no mean)_normal_KL05_181546_30_0.0001_3_window_30,aiops,3,normal_KL,vlinear,16,2,0.0001,0.12213740458015267,0.25445292620865184,0.2322519083969472,0.4501363140676128,0.2989344783715018,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6106870229007634,1.0,1.0,1.0,0.12213740458015267,0.6450381679389313,0.8053435114503816,1.0,0.12213740458015267,0.6564885496183206,0.7938931297709924,0.8053435114503816,58.22222222222222
aiopsGVAR_(no mean)_normal_KL05_181705_30_0.0001_3_window_30,aiops,3,normal_KL,GVAR,256,2,0.0001,0.1297709923664122,0.26272264631043285,0.23333333333333364,0.35132224645583493,0.2621483097055618,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6450381679389313,1.0,1.0,1.0,0.1297709923664122,0.6297709923664122,0.7709923664122137,1.0,0.1946564885496183,0.7290076335877863,0.7709923664122137,0.8015267175572519,58.22222222222222
aiopscLSTM_(no mean)_normal_KL05_181844_30_0.0001_3_window_30,aiops,3,normal_KL,cLSTM,256,2,0.0001,0.16793893129770993,0.2340966921119598,0.23034351145038198,0.3380588876772088,0.2588804071246822,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6374045801526718,1.0,1.0,1.0,0.16793893129770993,0.6641221374045801,0.7137404580152672,1.0,0.19083969465648856,0.6374045801526718,0.7900763358778626,0.8053435114503816,58.22222222222222
----sample 1----
aiopsvlinear_(no mean)_normal_KL05_195416_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.30057803468208094,0.36801541425818873,0.408092485549133,0.4633108542068082,0.3989636663914121,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.48554913294797686,1.0,1.0,1.0,0.30057803468208094,0.5953757225433526,1.0,1.0,0.5260115606936416,1.0,1.0,1.0,12.06415620641562
aiopsGVAR_(no mean)_normal_KL05_195539_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2254335260115607,0.2986512524084778,0.3329479768786128,0.388326910725755,0.32562666299660525,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.43352601156069365,1.0,1.0,1.0,0.2254335260115607,0.5780346820809249,1.0,1.0,0.43352601156069365,0.9017341040462428,0.9364161849710982,1.0,12.06415620641562
aiopscLSTM_(no mean)_normal_KL05_195718_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23121387283236994,0.3082851637764931,0.3387283236994219,0.4104046242774569,0.3307326360216535,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.4508670520231214,1.0,1.0,1.0,0.23121387283236994,0.5606936416184971,1.0,1.0,0.4508670520231214,0.9421965317919075,1.0,1.0,12.06415620641562
