scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL05_141147_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.35,0.45,0.5,0.39,24988,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3724271953405017,0.1,0.65,0.7,0.8,0.39,0.13379088160259656,1.0,0.1111384391784668,8.997786970844478,0.172882080078125,17.90673828125,176.23692631721497,0.8811846315860749,37448.451569796394,554.943359375,1,0,0,mul,gate,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_141739_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.45,0.5,0.38,16220,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35942930763679193,0.1,0.6,0.65,0.75,0.38,0.1268857754044952,1.0,0.10967185497283935,9.118109657647842,0.139434814453125,17.734375,131.99731421470642,0.6599865710735321,49999.502181270036,465.59228515625,0,0,0,mul,gate,split_max,bipartite,linear
swatvlinear_(no mean)_normal_KL05_142232_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.45,0.55,0.38499999999999995,16476,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4050085999312005,0.15,0.65,0.7,0.8,0.38499999999999995,0.13793114224133723,1.0,0.08492573499679565,11.774993764113212,0.140411376953125,17.77783203125,171.28188610076904,0.8564094305038452,38531.803626433604,503.8466796875,1,0,0,mul,gate,split_max,bipartite,linear
swatvlinear_(no mean)_normal_KL05_142821_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.5,0.385,16412,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3231933040439772,0.1,0.5,0.6,0.7,0.385,0.12257650672131262,1.0,0.11461235284805298,8.725063007176438,0.140167236328125,17.7275390625,108.90451908111572,0.6152797688198628,53632.51267515869,440.59228515625,0,0,0,mul,gate,split_max,symmetric,mlp
swatvlinear_(no mean)_normal_KL05_143239_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.35,0.5,0.55,0.42000000000000004,16668,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3041150920195409,0.05,0.6,0.6,0.75,0.42000000000000004,0.1307669683062202,1.0,0.0912139892578125,10.96323061996052,0.141143798828125,17.740234375,161.1155457496643,0.8055777287483216,40963.14833737111,478.3466796875,1,0,0,mul,gate,split_max,symmetric,mlp
swatvlinear_(no mean)_normal_KL05_143821_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.55,0.4,7900,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3282445306671312,0.1,0.5,0.6,0.7,0.4,0.130384048104053,1.0,0.09175868034362793,10.898151501907948,0.107696533203125,17.57373046875,116.6632399559021,0.5833161997795105,56571.37588922336,388.99560546875,0,0,0,mul,gate,split_max,symmetric,linear
swatvlinear_(no mean)_normal_KL05_144249_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.4,0.45,0.55,0.41,8156,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.326197389212095,0.1,0.55,0.6,0.7,0.41,0.13747727084867523,1.0,0.08202518224716186,12.191377972032495,0.108673095703125,17.611328125,151.63935947418213,0.7581967973709106,43523.00103934211,427.25,1,0,0,mul,gate,split_max,symmetric,linear
swatvlinear_(no mean)_normal_KL05_144812_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.45,0.55,0.38999999999999996,16412,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29793188421359906,0.1,0.45,0.6,0.65,0.38999999999999996,0.13564659966250536,1.0,0.07257324457168579,13.779182753944925,0.140167236328125,17.76513671875,138.8128626346588,0.6940643131732941,47544.58538449708,480.03759765625,0,0,0,mul,gate,split_max,cosine,mlp
swatvlinear_(no mean)_normal_KL05_145310_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.3,0.45,0.5,0.40499999999999997,16668,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16625027452862515,0.0,0.25,0.35,0.6,0.40499999999999997,0.12737739202856996,1.0,0.09546828269958496,10.474683022703491,0.141143798828125,17.77099609375,175.31490421295166,0.8765745210647583,37645.40173939433,517.7919921875,1,0,0,mul,gate,split_max,cosine,mlp
swatvlinear_(no mean)_normal_KL05_145908_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.55,0.395,7900,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.30948230557329437,0.1,0.45,0.5,0.7,0.395,0.12737739202856999,1.0,0.0978844404220581,10.216128280329338,0.107696533203125,17.611328125,130.5705530643463,0.6528527653217315,50545.85314307094,428.44091796875,0,0,0,mul,gate,split_max,cosine,linear
swatvlinear_(no mean)_normal_KL05_150353_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.35,0.45,0.5,0.39,8156,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29956958581958576,0.1,0.5,0.5,0.7,0.39,0.14456832294800961,1.0,0.08297816514968873,12.051363129035774,0.108673095703125,17.6171875,166.98589253425598,0.8349294626712799,39523.099226158265,466.6953125,1,0,0,mul,gate,split_max,cosine,linear
swatvlinear_(no mean)_normal_KL05_152030_20_0.0001_1_window_20,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.3,0.45,0.5,0.39,27868,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.55670329469786,0.45,0.7,0.7,0.7,0.39,0.1392838827718412,1.0,0.09064096212387085,11.032539555718637,0.185333251953125,18.916015625,147.29932308197021,0.7364966154098511,8959.986864743078,2644.85986328125,1,0,0,mul,gate,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_152407_20_0.0001_1_window_20,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.4,0.45,0.55,0.43499999999999994,18332,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22739066564978422,0.0,0.45,0.6,0.7,0.43499999999999994,0.12257650672131264,1.0,0.10396220684051513,9.618880075661204,0.148956298828125,18.771484375,44.57987833023071,0.7308176775447658,9029.61190288912,2641.0302734375,1,0,0,mul,gate,split_max,bipartite,linear
swatvlinear_(no mean)_normal_KL05_152534_20_0.0001_1_window_20,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.35,0.45,0.55,0.41999999999999993,19548,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3190499091159907,0.05,0.55,0.7,0.7,0.41999999999999993,0.15198684153570666,1.0,0.10212481021881104,9.791939861209196,0.153594970703125,18.55029296875,85.10291385650635,0.6211891522372726,10623.173273765431,2160.26318359375,1,0,0,mul,gate,split_max,symmetric,mlp
