scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
batadalcLSTM_(no mean)_normal_KL29_155148_16_0.0001_2_window_16,batadal,2,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.14523809523809522,0.19455782312925168,13264683,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22799554456757237,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.19455782312925168,0.08889207037668015,1.0,0.11389943714285826,8.779674641813646,51.37291717529297,559.671875,0,0,0,0,1,0,4.807802338187483,3.7993142390424173,0.5427591770060596
batadalcMLP_(no mean)_normal_KL29_155158_16_0.0001_2_window_16,batadal,2,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.15003401360544216,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36809056956115777,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.15003401360544216,0.05344211798769218,1.0,0.018327848571321477,54.56177772904296,27.94127655029297,552.59375,0,0,0,0,1,0,4.5896338479809025,0.41226333804705606,0.058894762578150864
batadaldeep_mlp_(no mean)_normal_KL29_155206_16_0.0001_2_window_16,batadal,2,normal_KL,deep_mlp,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.17142857142857146,0.1869047619047619,0.168843537414966,42615045,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3013543599257885,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.168843537414966,0.041336523525187865,1.0,0.1636787822859073,6.109527368386952,163.33566284179688,833.96875,0,0,0,0,1,0,4.35122126701654,4.986695839145833,0.7123851198779761
batadalCUTS_PLUS_(no mean)_normal_KL29_155216_16_0.0001_2_window_16,batadal,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.17142857142857146,0.29642857142857143,0.22957482993197278,265828,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5306122448979591,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.22957482993197278,0.04361238297356055,1.0,0.11125610071420462,8.988271147204829,1.7862205505371094,509.171875,0,0,0,0,1,0,3.634539341003438,2.673579595680686,0.381939942240098
batadaliTransformer_(no mean)_normal_KL29_155224_16_0.0001_2_window_16,batadal,2,normal_KL,iTransformer,256,0,0.0001,0.14285714285714285,0.09523809523809523,0.1142857142857143,0.19047619047619047,0.1364285714285714,800015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06278783994504429,0.0,0.0,0.14285714285714285,0.14285714285714285,0.1364285714285714,0.024927332029043296,1.0,0.009306647428404955,107.45007884878989,3.8239822387695312,512.15625,0,0,0,0,1,0,4.511374445285865,0.20692722229364907,0.029561031756235583
batadalTimeMixerpp_(no mean)_normal_KL29_155231_16_0.0001_2_window_16,batadal,2,normal_KL,TimeMixerpp,256,0,0.0001,0.14285714285714285,0.047619047619047616,0.08571428571428573,0.15595238095238098,0.11573129251700683,576557,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03724030923234407,0.0,0.0,0.0,0.0,0.11573129251700683,0.034921741541643604,1.0,0.018785338856754867,53.23300301503042,7.8543701171875,518.78125,0,0,0,0,1,0,3.8314930441686563,0.3590083520642384,0.051286907437748344
batadalvlinear_(no mean)_normal_KL29_155238_16_0.0001_3_window_16,batadal,3,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.17142857142857146,0.2630952380952381,0.2527721088435374,279445,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4091269841269841,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.2527721088435374,0.07937590811288668,1.0,0.019250729285626482,51.94608397234322,1.839141845703125,521.28125,0,0,0,0,1,0,4.840407725152711,0.4728351236645615,0.06754787480922307
batadalGVAR_(no mean)_normal_KL29_155245_16_0.0001_3_window_16,batadal,3,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.17142857142857146,0.21547619047619046,0.18505102040816326,14205015,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3868256604967568,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.18505102040816326,0.025485867075926257,1.0,0.053431830571493526,18.71543589849439,54.959999084472656,599.15625,0,0,0,0,1,0,4.374826730261349,1.6609196382559053,0.2372742340365579
batadalcLSTM_(no mean)_normal_KL29_155254_16_0.0001_3_window_16,batadal,3,normal_KL,cLSTM,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.19999999999999998,0.230952380952381,0.23335034013605443,13264683,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.13673391327155096,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.23335034013605443,0.02814597077354626,1.0,0.1183811530001029,8.44729059193342,51.37291717529297,608.4375,0,0,0,0,1,0,4.664158236126718,3.731309866830234,0.5330442666900334
batadalcMLP_(no mean)_normal_KL29_155303_16_0.0001_3_window_16,batadal,3,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.14171768707482993,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3927295918367347,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14171768707482993,0.05040312810513028,1.0,0.015561108428690724,64.2627743764226,27.94127655029297,553.859375,0,0,0,0,1,0,3.9204835861904592,0.4034239733237964,0.05763199618911378
