scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb
smdCUTS_PLUS_(no mean)_normal_KL12_093824_10_0.0001_1_window_10,smd,1,normal_KL,CUTS_PLUS,16,2,0.0001,0.3261538461538461,0.3138461538461536,0.31292307692307686,0.3826507936507935,0.3335831501831501,79014,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.44729252700480276,0.3261538461538461,0.49538461538461537,0.5323076923076923,0.676923076923077,0.3335831501831501,0.02258453088975753,1.0,0.06364910125732422,15.711140931230796,0.505523681640625,17.91748046875,4763.277074575424,23.81638537287712,2379.5382511965868,1053.4453125
smdvlinear_(no mean)_normal_KL12_114456_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.40615384615384614,0.31846153846153846,0.32492307692307676,0.36440415140415144,0.34697448107448103,55718,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5085279723148123,0.40615384615384614,0.5292307692307693,0.6215384615384615,0.7384615384615385,0.34697448107448103,0.024394212582259895,1.0,0.08592295059790978,11.638334031144488,0.418182373046875,19.34033203125,482.04704189300537,2.410235209465027,11756.528943201949,1156.9755859375
smdGVAR_(no mean)_normal_KL12_115711_20_0.0001_1_window_20,smd,1,normal_KL,GVAR,128,2,0.0001,0.15076923076923077,0.16153846153846163,0.17123076923076921,0.22872771672771675,0.1823851037851038,3947820,20,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.28623644736540454,0.15076923076923077,0.29846153846153844,0.36923076923076925,0.5446153846153846,0.1823851037851038,0.023465230819277396,1.0,0.08023832174447866,12.462872830074014,15.263847351074219,77.84033203125,370.72435760498047,2.1553741721219795,13146.673262815908,353.95751953125
smdcLSTM_(no mean)_normal_KL12_120902_20_0.0001_1_window_20,smd,1,normal_KL,cLSTM,128,2,0.0001,0.20307692307692307,0.19487179487179493,0.2314871794871797,0.2734004884004884,0.229915750915751,3273510,20,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.32155766134556435,0.20307692307692307,0.36,0.4492307692307692,0.5446153846153846,0.229915750915751,0.026449831015465386,1.0,0.07915972416217511,12.632686768226892,12.691558837890625,69.77294921875,446.76511812210083,5.878488396343432,4820.28679645361,1291.35986328125
smdtorai_(no mean)_normal_KL12_122657_20_0.0001_1_window_20,smd,1,normal_KL,torai,256,2,0.0001,0.25846153846153846,0.2641025641025641,0.27815384615384603,0.32778266178266185,0.28650341880341884,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35520019192166574,0.25846153846153846,0.37846153846153846,0.4307692307692308,0.5107692307692308,0.28650341880341884,0.02311870930485947,1.0,0,0,0,0,0,0,0,0
smdbaro_(no mean)_normal_KL12_123020_20_0.0001_1_window_20,smd,1,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4653641741270318,0.3323076923076923,0.5230769230769231,0.6092307692307692,0.7446153846153846,0.38585567765567763,0.049903292504711906,1.0,0,0,0,0,0,0,0,0
smdrcd_(no mean)_normal_KL12_123104_20_0.0001_1_window_20,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0,0,0,0,0
smdCUTS_PLUS_(no mean)_normal_KL12_123324_20_0.0001_1_window_20,smd,1,normal_KL,CUTS_PLUS,16,2,0.0001,0.3292307692307692,0.3107692307692307,0.31276923076923085,0.37604029304029324,0.3308862026862027,79014,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4497966919027873,0.3292307692307692,0.48615384615384616,0.5476923076923077,0.68,0.3308862026862027,0.0221945045564519,1.0,0.08011030710660494,12.48278824682663,0.505523681640625,17.92529296875,5061.6952250003815,25.308476125001906,1119.6248980003677,2199.96875
smdvlinear_(no mean)_normal_KL14_013323_4_0.0001_2_window_4,smd,2,normal_KL,vlinear,128,0,0.0001,0.4338461538461538,0.4384615384615383,0.4414871794871795,0.48262637362637373,0.4558775335775337,49542,4,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.566325847614864,0.4338461538461538,0.64,0.7015384615384616,0.7846153846153846,0.4558775335775337,0.018199663965988853,1.0,0.06616346139174241,15.114082289001976,0.393157958984375,18.45849609375,809.7555441856384,4.048777720928192,34993.27692593594,212.59912109375,1
smdGVAR_(no mean)_normal_KL14_015613_4_0.0001_2_window_4,smd,2,normal_KL,GVAR,128,0,0.0001,0.23384615384615384,0.23794871794871805,0.23456410256410248,0.2774090354090354,0.2489115995115995,623340,4,0,200,0,0,128,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3548497336018554,0.23384615384615384,0.39076923076923076,0.4523076923076923,0.5476923076923077,0.2489115995115995,0.014847718663681907,1.0,0.06595318647531363,15.162269686155367,2.5819625854492188,26.9921875,370.3410198688507,2.7432668138433387,51646.45279308621,78.05517578125,1
