scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
gaiaGVAR_(no mean)_normal_KL02_234053_6_0.0001_1_window_6,gaia,1,normal_KL,GVAR,256,2,0.0001,0.7714285714285715,0.790476190476189,0.7580952380952392,0.8123809523809541,0.7871137566137567,3606740,6,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_234918_6_0.0001_1_window_6,gaia,1,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_235013_6_0.0001_1_window_6,gaia,1,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7047619047619048,0.7219047619047624,0.7342857142857147,0.7188352229780803,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL02_235031_6_0.0001_1_window_6,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7396825396825392,0.7295238095238101,0.7323809523809525,0.7341591080876797,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL02_235138_6_0.0001_1_window_6,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.7587301587301577,0.7295238095238101,0.7799999999999991,0.7514323507180652,15782450,6,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL03_002902_30_0.0001_2_window_30,gaia,2,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL03_002957_30_0.0001_2_window_30,gaia,2,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7047619047619048,0.7219047619047624,0.7342857142857147,0.7188352229780803,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL03_003020_30_0.0001_2_window_30,gaia,2,normal_KL,torai,256,2,0.0001,0.7142857142857143,0.7269841269841268,0.7238095238095243,0.7333333333333333,0.7276832955404385,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL03_003119_30_0.0001_2_window_30,gaia,2,normal_KL,cLSTM,256,2,0.0001,0.780952380952381,0.790476190476189,0.7923809523809539,0.7485714285714294,0.7709206349206352,15782450,30,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL03_010328_30_0.0001_3_window_30,gaia,3,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL03_010422_30_0.0001_3_window_30,gaia,3,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7047619047619048,0.7219047619047624,0.7342857142857147,0.7188352229780803,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL03_010441_30_0.0001_3_window_30,gaia,3,normal_KL,torai,256,2,0.0001,0.7238095238095238,0.7301587301587299,0.7219047619047624,0.7352380952380956,0.7278495842781559,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL03_010541_30_0.0001_3_window_30,gaia,3,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.7485714285714294,0.7006640211640214,15782450,30,0,60,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL03_013735_10_0.0001_2_window_10,gaia,2,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL03_013828_10_0.0001_2_window_10,gaia,2,normal_KL,baro,256,2,0.0001,0.6952380952380952,0.7047619047619048,0.7219047619047624,0.7342857142857147,0.7188352229780803,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
