scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
gaiatorai_(no mean)_normal_KL17_131427_14_0.0001_1_window_14,gaia,1,normal_KL,torai,128,0,0.0001,0.20857142857142857,0.21523809523809498,0.3569523809523808,0.6109523809523794,0.41668106575963704,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3715465828497744,0.20857142857142857,0.36857142857142855,0.5457142857142857,0.8171428571428572,0.41668106575963704,0.18259463935044642,1.0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL17_131702_14_0.0001_1_window_14,gaia,1,normal_KL,baro,128,0,0.0001,0.14285714285714285,0.14190476190476203,0.20476190476190523,0.24999999999999997,0.19307653061224503,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2538726267729503,0.20857142857142857,0.22,0.2542857142857143,0.30857142857142855,0.19307653061224503,0.054162527981873286,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL17_131748_14_0.0001_1_window_14,gaia,1,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL17_131958_14_0.0001_1_window_14,gaia,1,normal_KL,cLSTM,256,0,0.0001,0.19428571428571428,0.24904761904761855,0.23323809523809533,0.279904761904762,0.251601133786848,15782450,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04418471038567095,0.0,0.037142857142857144,0.037142857142857144,0.12285714285714286,0.251601133786848,0.02658036559030862,1.0,0.09277806350163051,10.77840991995296,60.98431396484375,271.32861328125,468.43211936950684,18.016619975750263,3794.9959588439815,2296.7724609375,0,0
aiopsvlinear_(no mean)_normal_KL27_194439_8_0.0001_2_window_8,aiops,2,normal_KL,vlinear,256,0,0.0001,0.17801047120418848,0.4048865619546249,0.44816753926701647,0.5145287958115187,0.4267888307155324,160526,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8481675392670157,0.6963350785340314,1.0,1.0,1.0,0.4267888307155324,0.09504147933608895,0.13337988826815642,0.06977505209558298,14.331770023333366,1.3742523193359375,20.8759765625,27.158488273620605,0.21384636435921736,21515.44644580105,562.59326171875,0,0
aiopsGVAR_(no mean)_normal_KL27_194608_8_0.0001_2_window_8,aiops,2,normal_KL,GVAR,256,0,0.0001,0.20418848167539266,0.30017452006980805,0.34659685863874345,0.3908813263525308,0.3255200282556304,2135196,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7675521164959691,0.7172774869109948,0.7801047120418848,0.8115183246073299,0.8481675392670157,0.3255200282556304,0.05870765276896862,0.13337988826815642,0.13117286297663344,7.62352804770401,8.906776428222656,50.6396484375,36.797834396362305,0.18398917198181153,25006.906387158684,116.67822265625,0,0
aiopstorai_(no mean)_normal_KL27_194933_8_0.0001_2_window_8,aiops,2,normal_KL,torai,128,0,0.0001,0.25654450261780104,0.31937172774869077,0.3528795811518327,0.37060791157649775,0.3356372060167871,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41858595758216627,0.25654450261780104,0.5287958115183246,0.5287958115183246,0.7068062827225131,0.3356372060167871,0.03153630774853908,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopsbaro_(no mean)_normal_KL27_195744_8_0.0001_2_window_8,aiops,2,normal_KL,baro,128,0,0.0001,0.28272251308900526,0.3647469458987783,0.3968586387434554,0.4423938336242004,0.38235456660849343,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3679003430222062,0.193717277486911,0.45549738219895286,0.8167539267015707,0.8167539267015707,0.38235456660849343,0.05554753902747024,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopsrcd_(no mean)_normal_KL27_195859_8_0.0001_2_window_8,aiops,2,normal_KL,rcd,128,0,0.0001,0.17801047120418848,0.2617801047120419,0.2931937172774868,0.341753926701571,0.27939790575916235,0,8,0,100,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2888427513991695,0.08900523560209424,0.35602094240837695,0.837696335078534,0.837696335078534,0.27939790575916235,0.05671326591808426,0.13337988826815642,0,0,0,0,0,0,0,0,0,0
aiopscLSTM_(no mean)_normal_KL27_200419_8_0.0001_2_window_8,aiops,2,normal_KL,cLSTM,256,0,0.0001,0.24607329842931938,0.3141361256544501,0.3361256544502617,0.37436009307737095,0.3272035236433143,8855070,8,0,200,0,0,0,0,30,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7754086518484423,0.680628272251309,0.8848167539267016,0.9581151832460733,0.9790575916230366,0.3272035236433143,0.041788759257197244,0.13337988826815642,0.07714614194101065,12.962411014210462,34.54106140136719,161.12158203125,135.35106110572815,0.6767553055286407,6798.616815284477,847.42724609375,0,0
