scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
gaiabaro_(no mean)_normal_KL28_214639_14_0.0001_2_window_14,gaia,2,normal_KL,baro,128,0,0.0001,0.14285714285714285,0.14190476190476203,0.20476190476190523,0.24999999999999997,0.19307653061224503,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2538726267729503,0.20857142857142857,0.22,0.2542857142857143,0.30857142857142855,0.19307653061224503,0.054162527981873286,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL28_214745_14_0.0001_2_window_14,gaia,2,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL28_215028_14_0.0001_2_window_14,gaia,2,normal_KL,cLSTM,256,0,0.0001,0.2,0.22476190476190444,0.22952380952380996,0.23590476190476206,0.22570555555555555,15782450,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07342971270684943,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.22570555555555555,0.01070074656023283,1.0,0.09576823370797294,10.441875779491875,60.98431396484375,271.32861328125,658.3973822593689,19.36462888998144,3530.819020000622,2296.7724609375,0,0
gaiaCUTS_PLUS_(no mean)_normal_KL28_222923_14_0.0001_2_window_14,gaia,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.19714285714285715,0.3142857142857142,0.3428571428571431,0.42380952380952375,0.335904761904762,274738,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11946401605192668,0.0,0.03142857142857143,0.3914285714285714,0.40285714285714286,0.335904761904762,0.06092947858421429,1.0,0.09996607235499791,10.003393915975973,1.82708740234375,21.65966796875,19823.636964559555,99.11818482279777,689.8128746227181,3789.06201171875,0,0
gaiavlinear_(no mean)_normal_KL30_171838_8_0.0001_3_window_8,gaia,3,normal_KL,vlinear,256,0,0.0001,0.2714285714285714,0.21571428571428575,0.20180952380952386,0.28438095238095223,0.24874659863945586,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03722458934637284,0.0,0.0,0.0,0.12285714285714286,0.24874659863945586,0.03201030673489806,1.0,0.12424419334956578,8.048665881603512,1.45074462890625,21.45166015625,446.99409580230713,6.573442585328046,18217.54711409316,935.26611328125,0,0
gaiavlinear_(no mean)_normal_KL31_212355_8_0.0001_3_window_8,gaia,3,normal_KL,vlinear,256,0,0.0001,0.3171428571428571,0.3114285714285718,0.3310476190476185,0.3161904761904768,0.3177646258503401,175886,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03642259586113407,0.0,0.0,0.037142857142857144,0.037142857142857144,0.3177646258503401,0.010644866658273671,1.0,0.07512798718043737,13.310618819033005,1.4502410888671875,21.4501953125,215.571298122406,6.159179946354457,19442.848080916963,935.265625,0,0,0
gaiaGVAR_(no mean)_normal_KL31_213824_8_0.0001_3_window_8,gaia,3,normal_KL,GVAR,256,0,0.0001,0.18285714285714286,0.2257142857142857,0.3291428571428579,0.3612380952380955,0.2965267573696146,5049436,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07131505733777896,0.0,0.0,0.0,0.37142857142857144,0.2965267573696146,0.06252531211811452,1.0,0.07226346697126117,13.838251081942902,20.041114807128906,96.7724609375,730.1564779281616,3.650782389640808,32801.735962077466,270.08837890625,0,0,0
gaiatorai_(no mean)_normal_KL31_220056_8_0.0001_3_window_8,gaia,3,normal_KL,torai,128,0,0.0001,0.21428571428571427,0.21999999999999975,0.3596190476190475,0.6109523809523792,0.41888027210884343,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3787210412012844,0.21428571428571427,0.38,0.56,0.82,0.41888027210884343,0.1801861525840542,1.0,0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL31_220326_8_0.0001_3_window_8,gaia,3,normal_KL,baro,128,0,0.0001,0.14,0.1485714285714287,0.210476190476191,0.2525714285714284,0.19693571428571438,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2566263524123903,0.2057142857142857,0.2342857142857143,0.28,0.31142857142857144,0.19693571428571438,0.055585449377869446,1.0,0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL31_220418_8_0.0001_3_window_8,gaia,3,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,8,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL31_221223_8_0.0001_3_window_8,gaia,3,normal_KL,cLSTM,256,0,0.0001,0.2714285714285714,0.2566666666666667,0.39399999999999946,0.37142857142857205,0.3311471655328798,15782450,8,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03498956660643486,0.0,0.0,0.037142857142857144,0.037142857142857144,0.3311471655328798,0.05459696974759284,1.0,0.07207390785217285,13.874646592648332,60.98431396484375,276.2607421875,480.6893138885498,20.028721412022907,5979.013714181219,1399.244140625,0,0,0
