scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,beta_lv
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_215128_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6299999999999999,0.585,0.7593333333333334,0.7001166666666667,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_215356_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.86,0.71,0.6419999999999999,0.8071666666666663,0.7408333333333331,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_215715_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7199999999999999,0.6689999999999998,0.8086666666666662,0.7554333333333332,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_220033_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.6733333333333336,0.6386666666666667,0.8016666666666664,0.7361666666666666,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL16_220541_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.40333333333333365,0.4056666666666668,0.6026666666666666,0.4783500000000001,1810200,7,0,100,0,0,32,2,40,0.4
lotka_volterradeep_mlp_(no mean)_normal_KL16_220907_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.4895333333333333,1810200,7,0,100,0,0,32,2,40,0.4
lotka_volterradeep_mlp_(no mean)_normal_KL16_221232_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.52145,1810200,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_221411_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6366666666666665,0.5706666666666667,0.7556666666666664,0.6880666666666666,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_221639_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6299999999999997,0.5998333333333332,0.7519999999999998,0.6906666666666667,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_221909_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6399999999999998,0.5913333333333334,0.767833333333333,0.7071333333333333,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_222137_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6366666666666665,0.5788333333333333,0.7538333333333334,0.6873333333333334,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_222405_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.86,0.6299999999999997,0.6075,0.7593333333333331,0.6974666666666665,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_222635_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6333333333333332,0.5966666666666667,0.7698333333333331,0.7071666666666667,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_222904_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.7199999999999999,0.6401666666666666,0.8156666666666662,0.7440499999999999,436319,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_223224_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7166666666666665,0.6569999999999999,0.809833333333333,0.7564333333333332,436319,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_223545_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.6666666666666667,0.6419999999999999,0.7943333333333329,0.7357666666666665,436319,7,0,100,0,0,32,2,40,0.4
lotka_volterradeep_mlp_(no mean)_normal_KL16_224055_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.40333333333333365,0.4056666666666668,0.6026666666666666,0.47855000000000014,1810200,7,0,100,0,0,32,2,40,0.5
lotka_volterradeep_mlp_(no mean)_normal_KL16_224426_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41883333333333334,0.6160000000000001,0.4899833333333333,1810200,7,0,100,0,0,32,2,40,0.5
lotka_volterradeep_mlp_(no mean)_normal_KL16_224754_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.52125,1810200,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_224933_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.85,0.6366666666666664,0.5658333333333334,0.7674999999999997,0.6843999999999999,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_225201_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.85,0.6299999999999998,0.6149999999999999,0.7706666666666665,0.7025833333333333,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_225432_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.89,0.6266666666666665,0.6026666666666667,0.7659999999999998,0.7086333333333333,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_225700_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.86,0.6333333333333331,0.5673333333333332,0.7544999999999998,0.6823166666666666,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_225928_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.633333333333333,0.6164999999999999,0.7613333333333331,0.7021333333333332,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_230157_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6399999999999997,0.5905,0.7659999999999997,0.7035166666666666,319487,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_230427_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7199999999999999,0.6496666666666665,0.8198333333333331,0.7453666666666665,436319,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_230747_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.7066666666666664,0.6638333333333333,0.8111666666666661,0.7522833333333332,436319,7,0,100,0,0,32,2,40,0.5
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_231107_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.68,0.6431666666666667,0.7983333333333329,0.7358499999999999,436319,7,0,100,0,0,32,2,40,0.5
