scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv
lotka_volterradeep_mlp_(no mean)_normal_KL17_105357_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.4910166666666667,1810200,7,0,100,0,0,32,2,40,0.4
lotka_volterradeep_mlp_(no mean)_normal_KL17_105716_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.5217,1810200,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_105854_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6433333333333331,0.5784999999999999,0.7554999999999998,0.6859333333333332,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_110120_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6499999999999997,0.617,0.7616666666666664,0.7011999999999999,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_110349_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6299999999999998,0.5986666666666666,0.7628333333333331,0.7069499999999999,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_110618_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6399999999999998,0.5698333333333333,0.7694999999999999,0.6881666666666666,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_110853_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6366666666666664,0.6116666666666667,0.7583333333333332,0.7002499999999998,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_111126_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.89,0.6266666666666665,0.605,0.7723333333333332,0.7103166666666666,319487,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_111358_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.71,0.6464999999999997,0.8131666666666661,0.7448166666666663,436319,7,0,100,0,0,32,2,40,0.4
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_111727_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7166666666666666,0.6629999999999998,0.8124999999999996,0.7573666666666666,436319,7,0,100,0,0,32,2,40,0.4
