scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
nonlineardeep_mlp_(no mean)_normal_KL15_002652_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.86,0.8866666666666668,0.9603333333333332,1.0,0.9487833333333333,60108,1,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_002736_1_0.0001_2_window_1,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.87,0.8816666666666667,0.9594999999999999,1.0,0.9487,60108,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_002820_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.85,0.9116666666666668,0.9681666666666666,1.0,0.9576499999999999,56917,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_002906_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.8966666666666667,0.9745,1.0,0.9534499999999999,56917,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_002952_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.85,0.9116666666666668,0.9681666666666666,1.0,0.9576499999999999,56917,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_fourier_(no mean)_normal_KL15_003037_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.8966666666666667,0.9745,1.0,0.9534499999999999,56917,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_003122_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.91,0.9711666666666666,1.0,0.9555333333333333,71993,1,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_003213_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.84,0.9116666666666667,0.9719999999999999,1.0,0.9515333333333335,71993,1,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_003307_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,32,2,0.0001,0.88,0.92,0.9673333333333332,1.0,0.9583166666666667,300540,5,0,100,0,0,32,2
nonlineardeep_mlp_(no mean)_normal_KL15_003418_5_0.0001_2_window_5,nonlinear,2,normal_KL,deep_mlp,32,2,0.0001,0.87,0.8983333333333333,0.9693333333333334,1.0,0.9557666666666667,300540,5,0,100,0,0,32,2
nonlinearTemporalGNN_Attention_(no mean)_normal_KL15_003528_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.84,0.8850000000000001,0.9558333333333331,1.0,0.9484999999999999,57045,5,0,100,0,0,32,2
