scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_201228_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.265,0.38500000000000006,0.45499999999999996,0.5349999999999999,0.4405,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_201645_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.195,0.32,0.4149999999999999,0.4950000000000001,0.3955,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_202058_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.18,0.26,0.305,0.385,0.3005,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_202456_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.23500000000000001,0.32,0.37249999999999994,0.51,0.391,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_202837_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.27,0.38,0.43000000000000005,0.45500000000000007,0.40750000000000003,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_203253_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.31999999999999995,0.39,0.45,0.5475000000000001,0.45375000000000004,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_203807_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.36500000000000005,0.41,0.48500000000000004,0.409,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_204301_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.31,0.3525,0.3975,0.4450000000000001,0.39375000000000004,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_204804_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.29499999999999993,0.4,0.43,0.48500000000000004,0.414,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_205252_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.28,0.3175,0.365,0.4375000000000001,0.363,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_205732_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.27499999999999997,0.31,0.355,0.3775,0.34275,8539876,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_235453_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.23499999999999996,0.35,0.40499999999999997,0.45499999999999996,0.393,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_235906_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.22500000000000003,0.335,0.4,0.5449999999999999,0.413,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_000300_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.29999999999999993,0.40499999999999997,0.45999999999999996,0.5650000000000002,0.44800000000000006,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_000654_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.16,0.24499999999999997,0.275,0.39,0.28700000000000003,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_001106_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.18,0.24,0.3025,0.43249999999999994,0.319,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_001447_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.24499999999999997,0.315,0.36,0.4149999999999999,0.34500000000000003,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_001842_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.26999999999999996,0.36,0.39,0.49000000000000005,0.397,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_002241_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.25999999999999995,0.37,0.4149999999999999,0.475,0.40249999999999997,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_002639_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.14500000000000002,0.23499999999999996,0.325,0.4,0.30174999999999996,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_003045_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.155,0.19,0.23000000000000004,0.35500000000000004,0.257,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_003511_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.205,0.335,0.37,0.395,0.35225,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_003857_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,1,0.0001,0.22999999999999998,0.37500000000000006,0.445,0.475,0.41200000000000003,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_004319_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.335,0.3875,0.4375,0.51,0.4422499999999999,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_004759_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.32,0.41,0.445,0.485,0.4290000000000001,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_005243_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.27,0.38499999999999995,0.4574999999999999,0.545,0.4445,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_005725_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.30500000000000005,0.4,0.41999999999999993,0.45500000000000007,0.4125,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_010214_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.255,0.31,0.34500000000000003,0.39499999999999996,0.34075,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL11_010641_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,1,0.0001,0.28,0.32999999999999996,0.36,0.37,0.346,8539876,10,0,1000,0,0,256,2

new losses
swatTemporalGNN_Attention_(no mean)_normal_KL11_123250_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.27999999999999997,0.40499999999999997,0.4749999999999999,0.55,0.45599999999999996,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_123709_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.23500000000000001,0.35500000000000004,0.41000000000000003,0.5399999999999999,0.41949999999999993,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_124117_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.17500000000000002,0.32999999999999996,0.37499999999999994,0.45499999999999996,0.35300000000000004,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_124539_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.10500000000000001,0.20999999999999996,0.255,0.385,0.2695,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_124946_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.23499999999999996,0.325,0.40499999999999997,0.4800000000000001,0.38649999999999995,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL11_125306_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.24499999999999997,0.325,0.37,0.45499999999999996,0.3665,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL11_125705_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.22000000000000003,0.37,0.39999999999999997,0.46749999999999997,0.38025,6414267,10,0,1000,0,0,256,2
