scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_150713_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2571428571428571,0.37142857142857144,0.41428571428571426,0.42142857142857143,0.3871428571428571,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_151118_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.24583333333333335,0.3458333333333334,0.3791666666666667,0.4125,0.3654166666666667,6414779,12,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_151623_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.24166666666666664,0.32083333333333336,0.4166666666666667,0.5125,0.40666666666666673,6414779,12,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_152114_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_152408_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_152704_7_0.0001_2_window_7,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.4142857142857143,0.5142857142857143,0.5642857142857143,0.4735714285714286,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_153058_7_0.0001_2_window_7,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25000000000000006,0.5285714285714287,0.55,0.5642857142857143,0.5107142857142858,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_153514_12_0.0001_2_window_12,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2333333333333333,0.4,0.45,0.4916666666666666,0.41999999999999993,6414779,12,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_153937_12_0.0001_2_window_12,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.22499999999999995,0.4041666666666667,0.4625000000000001,0.525,0.44291666666666674,6414779,12,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_154422_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2,0.25,0.25,0.325,0.2800000000000001,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_154735_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2,0.25,0.25,0.325,0.2800000000000001,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_155047_7_0.0001_3_window_7,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.12857142857142856,0.1964285714285714,0.26071428571428573,0.44642857142857145,0.3017857142857143,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,gated
